batch_id,prev_pos,pos_code,brand,condition,timestamp,temperature,humidity,risk_score
B352,C,D,Brand_10,Bad,2026-01-02 18:16:00,,39.0,75
B028,C,D,Brand_4,Safe,2025-11-28 15:10:00,20.0,65.0,0
B109,H,I,Brand_10,Bad,2026-01-07 14:49:00,16.0,40.0,80
B319,,K,Brand_6,Need Attention,2025-12-24 16:59:00,,,51
B357,H,I,Brand_4,Safe,2026-01-07 06:12:00,32.0,36.0,0
B190,,T,Brand_4,Safe,2026-01-14 11:30:00,,70.0,3
B142,R,S,Brand_2,Safe,2025-12-31 02:51:00,,,0
B187,N,O,Brand_2,Bad,2025-12-30 03:20:00,24.0,70.0,77
B037,L,M,Brand_2,Need Attention,2025-12-31 05:28:00,19.0,,46
B004,J,K,Brand_9,Safe,2026-02-03 04:36:00,35.0,57.0,0
B181,R,S,Brand_3,Bad,2025-12-13 19:06:00,16.0,54.0,82
B090,O,P,Brand_3,Safe,2026-02-05 06:15:00,35.0,,0
B364,S,T,Brand_10,Safe,2025-12-01 12:55:00,,49.0,0
B213,M,N,Brand_5,Need Attention,2026-01-23 21:56:00,,36.0,54
B087,O,P,Brand_9,Safe,2025-12-18 14:34:00,,60.0,4
B340,M,N,Brand_10,Safe,2025-12-16 09:22:00,,,3
B075,J,K,Brand_10,Safe,2025-12-19 05:08:00,,42.0,0
B297,D,E,Brand_4,Need Attention,2025-12-15 21:35:00,35.0,,53
B408,O,P,Brand_4,Need Attention,2025-12-10 10:54:00,26.0,,50
B064,B,C,Brand_2,Need Attention,2026-01-12 13:44:00,,,49
B268,K,L,Brand_6,Bad,2026-01-19 14:36:00,24.0,,82
B440,M,N,Brand_3,Safe,2025-12-26 06:05:00,31.0,40.0,3
B054,G,H,Brand_6,Safe,2025-12-05 12:15:00,28.0,49.0,0
B264,E,F,Brand_10,Safe,2025-12-26 16:42:00,,58.0,0
B123,I,J,Brand_1,Need Attention,2025-12-01 06:55:00,16.0,,52
B187,O,P,Brand_6,Bad,2025-12-20 21:06:00,,33.0,79
B430,,B,Brand_3,Need Attention,2025-12-11 14:20:00,33.0,64.0,54
B225,K,L,Brand_7,Bad,2025-12-12 19:06:00,,69.0,83
B491,F,G,Brand_6,Safe,2025-12-13 06:57:00,,69.0,3
B273,F,G,Brand_9,Bad,2025-12-24 08:21:00,,57.0,85
B311,L,M,Brand_5,Safe,2025-11-28 07:24:00,,,0
B199,S,T,Brand_4,Safe,2026-01-01 21:31:00,32.0,,3
B397,,Q,Brand_10,Need Attention,2025-12-15 11:12:00,32.0,,47
B069,R,S,Brand_10,Need Attention,2025-12-18 10:54:00,22.0,48.0,53
B158,,H,Brand_3,Safe,2025-12-05 17:28:00,27.0,66.0,3
B307,F,G,Brand_4,Safe,2025-12-09 09:34:00,33.0,,0
B337,,J,Brand_4,Safe,2026-01-04 22:37:00,17.0,51.0,2
